Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:55:05,0.5,1.38,117.7,0.099,35.15,0.0,400
14/08:55:06,0.5,1.38,117.7,0.022,35.15,0.0,401
14/08:55:06,0.5,1.39,117.7,0.011,35.15,0.0,402
14/08:55:07,0.5,1.41,117.69,0.011,35.15,0.0,403
14/08:55:08,0.5,1.41,117.69,0.033,35.15,0.0,404
14/08:55:08,0.5,1.42,117.69,0.033,35.15,0.0,405
14/08:55:09,0.5,1.42,117.69,0.033,35.15,0.0,406
14/08:55:09,0.5,1.42,117.7,0.033,35.15,0.0,407
14/08:55:10,0.5,1.42,117.7,0.022,35.15,0.0,408
14/08:55:10,0.5,1.41,117.7,0.011,35.15,0.0,409
